serviceId;varumarke;tjanst;pris;journal_tp;journal_tp_post_prp;journal_tp_follow_4;journal_tp_follow_8;journal_tp_follow_12;journal_prp_multi;behandlingsplan_staff;konsultationsmall;ordination_tp;anteckningar_kort;id_verifiering;fore_efter_bildmall;ordination_recept;journal_estetik_botox;journal_estetik_filler;journal_estetik_profhilo;journal_estetik_ortopedi;journal_estetik_op;journal_estetik_follow
7097;Hair TP Clinic;DHI Hårtransplantation: 1000 grafts;52 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7096;Hair TP Clinic;DHI Hårtransplantation: 1500 grafts;56 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7095;Hair TP Clinic;DHI Hårtransplantation: 2000 grafts;60 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7094;Hair TP Clinic;DHI Hårtransplantation: 2500 grafts;64 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7093;Hair TP Clinic;DHI Hårtransplantation: 3000 grafts;68 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7414;Hair TP Clinic;DHI Ärr;från 15 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7389;Hair TP Clinic;DHI Skäggtransplantation 3000 grafts;68 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7127;Hair TP Clinic;DHI Skäggtransplantation: 1000 grafts;52 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7144;Hair TP Clinic;DHI Skäggtransplantation: 1500 grafts;56 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7387;Hair TP Clinic;DHI Skäggtransplantation: 2000 grafts;60 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7388;Hair TP Clinic;DHI Skäggtransplantation: 2500 grafts;64 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7104;Hair TP Clinic;DHI Ögonbrynstransplantation;25 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7385;Curatiio;Botox Läpplyft (Lip Flip);1 400 kr;;;;;;;?;?;;?;?;;;?;;;;;
7382;Curatiio;Botox: 1 område;2 300 kr;;;;;;;?;?;;?;?;;;?;;;;;
7383;Curatiio;Botox: 2 områden;2 800 kr;;;;;;;?;?;;?;?;;;?;;;;;
7384;Curatiio;Botox: 3 områden;3 400 kr;;;;;;;?;?;;?;?;;;?;;;;;
7377;Curatiio;Fillers: Läppar 0.5 ml;2 500 kr;;;;;;;?;?;;?;?;;;;?;;;;
7378;Curatiio;Fillers: Läppar 1 ml;3 500 kr;;;;;;;?;?;;?;?;;;;?;;;;
7376;Curatiio;Fillers: Nasolabialveck 1 ml;3 000 kr;;;;;;;?;?;;?;?;;;;?;;;;
7379;Curatiio;Profhilo: 1 behandling;3 000 kr;;;;;;;?;?;;?;?;;;;;?;;;
7380;Curatiio;Profhilo: 2 behandlingar;5 500 kr;;;;;;;?;?;;?;?;;;;;?;;;
7381;Curatiio;Profhilo: 3 behandlingar;8 000 kr;;;;;;;?;?;;?;?;;;;;?;;;
7092;Hair TP Clinic;FUE Hårtransplantation: 1000 grafts;42 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7091;Hair TP Clinic;FUE Hårtransplantation: 1500 grafts;46 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7090;Hair TP Clinic;FUE Hårtransplantation: 2000 grafts;50 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7089;Hair TP Clinic;FUE Hårtransplantation: 2500 grafts;54 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7088;Hair TP Clinic;FUE Hårtransplantation: 3000 grafts;58 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7087;Hair TP Clinic;FUE Hårtransplantation: 3500 grafts;62 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7086;Hair TP Clinic;FUE Hårtransplantation: 4000 grafts;66 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7106;Hair TP Clinic;FUE Hårtransplantation: 4500 grafts;69 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7397;Hair TP Clinic;FUE Skäggtransplantation: 1000 grafts;42 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7398;Hair TP Clinic;FUE Skäggtransplantation: 1500 grafts;46 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7399;Hair TP Clinic;FUE Skäggtransplantation: 2000 grafts;50 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7400;Hair TP Clinic;FUE Skäggtransplantation: 2500 grafts;54 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
7401;Hair TP Clinic;FUE Skäggtransplantation: 3000 grafts;58 000 kr;?;?;?;?;?;;?;?;?;?;?;?;?;;;;;;
8694;Curatiio;Estetiska injektioner · Konsultation;0 kr;;;;;;;?;?;;?;?;;;;;;;;
7081;Curatiio;Ortopediska injektionsbehandlingar · Konsultation;0 kr;;;;;;;?;?;;?;?;;;;;;?;;
7080;Curatiio;Ögonlocksplastik · Konsultation;0 kr;;;;;;;?;?;;?;?;;;;;;;?;
7079;Hair TP Clinic;Digitalt videosamtal · Onlinekonsultation;0 kr;;;;;;;?;?;;?;?;;;;;;;;
7078;Hair TP Clinic;Möte på kliniken · Fysisk konsultation;0 kr;;;;;;;?;?;;?;?;;;;;;;;
7121;Hair TP Clinic;Microneedling med PRP: Ansikte;5 800 kr;;;;;;?;?;?;;?;?;;;;;;;;
7392;Hair TP Clinic;Microneedling med PRP: Dekolletage;5 800 kr;;;;;;?;?;?;;?;?;;;;;;;;
7393;Hair TP Clinic;Microneedling med PRP: Hals;5 800 kr;;;;;;?;?;?;;?;?;;;;;;;;
7394;Hair TP Clinic;Microneedling med PRP: Händer;5 800 kr;;;;;;?;?;?;;?;?;;;;;;;;
7396;Hair TP Clinic;Tilläggsområde: PRP och Microneedling;1 500 kr;;;;;;?;?;?;;?;?;;;;;;;;
7406;Curatiio;Ortopedisk PRF;3 900 kr;;;;;;?;?;?;;?;?;;;;;;?;;
7411;Curatiio;Ortopedisk PRF med hyaluronsyra;5 400 kr;;;;;;?;?;?;;?;?;;;;;;?;;
7413;Curatiio;Ortopedisk PRF: 3e behandlingen;3 500 kr;;;;;;?;?;?;;?;?;;;;;;?;;
7109;Curatiio;Ortopedisk PRP;3 900 kr;;;;;;;?;?;;?;?;;;;;;?;;
7124;Curatiio;Ortopedisk PRP med hyaluronsyra;5 400 kr;;;;;;;?;?;;?;?;;;;;;?;;
7412;Curatiio;Ortopedisk PRP: 3e behandlingen;3 900 kr;;;;;;;?;?;;?;?;;;;;;?;;
7123;Curatiio;Ortopedisk hyaluronsyra;2 500 kr;;;;;;;?;?;;?;?;;;;;;?;;
7117;Hair TP Clinic;PRP: Ansikte;4 300 kr;;;;;;?;?;?;;?;?;;;;;;;;
7119;Hair TP Clinic;PRP: Dekolletage;4 300 kr;;;;;;?;?;?;;?;?;;;;;;;;
7118;Hair TP Clinic;PRP: Hals;4 300 kr;;;;;;?;?;?;;?;?;;;;;;;;
7120;Hair TP Clinic;PRP: Händer;4 300 kr;;;;;;?;?;?;;?;?;;;;;;;;
7122;Hair TP Clinic;Tilläggsområde: PRP Hud;1 500 kr;;;;;;?;?;?;;?;?;;;;;;;;
7114;Hair TP Clinic;PRP: Hår Mini;2 500 kr;;;;;;?;?;?;;?;?;;;;;;;;
7112;Hair TP Clinic;PRP: Hår Standard;4 300 kr;;;;;;?;?;?;;?;?;;;;;;;;
7113;Hair TP Clinic;PRP: Hår XL;4 800 kr;;;;;;?;?;?;;?;?;;;;;;;;
7116;Hair TP Clinic;PRP: Skägg;4 300 kr;;;;;;?;?;?;;?;?;;;;;;;;
7133;Hair TP Clinic;PRP: Underhållsbehandling TP;2 500 kr;;;;;;?;?;?;;?;?;;;;;;;;
7395;Hair TP Clinic;Tilläggsomårde: PRP Hår;1 500 kr;;;;;;?;?;?;;?;?;;;;;;;;
8952;Curatiio;Uppföljning: Botox;0 kr;;;;;;;?;?;;?;?;;;?;;;;;
8953;Curatiio;Uppföljning: Filler;0 kr;;;;;;;?;?;;?;?;;;;?;;;;
8954;Curatiio;Uppföljning: Profilho;0 kr;;;;;;;?;?;;?;?;;;;;?;;;
7107;Curatiio;Ögonlocksplastik: Suturborttagning;0 kr;;;;;;;?;?;;?;?;;;;;;;?;
